Ano,Santa Catarina - IDH Renda
2014,0.7764785879629631
2015,0.7771018036265432
2016,0.7698475861040965
2017,0.7704700939317418
2018,0.7703310115619001
2019,0.7701792853402547
2020,0.7696501294620959
2021,0.7702546866859227
2022,0.7712778400210066
