Ano,Roraima - PIB - Estadual,Roraima - PIB - Construção Civil,Roraima - PIB - Per Capita,Roraima - PIB - Preços de Mercado
2008,6555832.540343158,342849.1124042796,12.23541849571599,5474033.303729082
2009,6611656.678930855,345335.4852875928,12.228462335576936,5482305.617784198
2010,6787711.764628731,348962.48393009574,12.215748589960338,5534487.325966347
2011,6947966.087377517,347630.97201314516,12.206783093734131,5574553.472147543
2012,7096137.00454022,347411.2322732956,12.18653920523044,5609509.937973836
2013,7239848.492107861,349584.10065382905,12.18224260030205,5648191.918466686
2014,7349319.695531301,344289.7366271473,12.154910872861784,5667961.284129783
2015,7439257.98177897,340498.3564897025,12.130631287459824,5685184.983817315
2016,7513613.8385057915,340512.0387012236,12.120014409962252,5705073.927727124
2017,7560264.93979676,340005.35791734443,12.115483468178258,5723617.424583924
2018,7565390.829916128,340384.5456920989,12.089987900863003,5726484.56287206
2019,7519466.888937675,340174.81950989953,12.077845243078885,5712961.074096622
2020,7427921.883232112,340776.5848536629,12.078197035671563,5688955.672386168
2021,7252612.996730357,340641.39115366753,12.095909092308263,5643384.230357151
2022,7041849.039600415,340251.1267723755,12.115271469406775,5587542.994449749
