,Minas Gerais - IDH,Minas Gerais - Consumo de Cimento (t),Minas Gerais - value,Minas Gerais - Produção de Cimento (t),Minas Gerais - Desemprego,Minas Gerais - PIB - Estadual,Minas Gerais - PIB - Construção Civil,Minas Gerais - PIB - Per Capita,Minas Gerais - PIB - Preços de Mercado,Contratação Comercial (Bi R$),Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Comercial (Bi R$),Contratação Jurídico FGTS (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamentos Reformas e Ampliações (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Comercial (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - Livre (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Ativos Problemáticos P.Jurídica - Comercial (R$),Ativos Problemáticos P.Jurídica - Home equity (R$),Ativos Problemáticos P.Jurídica - Livre (R$),Ativos Problemáticos P.Jurídica - SFH (R$),Carteira de Crédito - Comercial (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica - Home equity (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Inadimplência P.Jurídica - SFH (%),Inadimplência P.Jurídica - FGTS (%),Inadimplência P.Jurídica - Livre (%),Inadimplência P.Jurídica - Comercial (%),Poupança e Empréstimo - SBPE (R$), Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%)
2003-1,0.7565371148204723,247.134,0.3345360459481215,648.89116,8.242461537567124,293775203.7644595,17250773.822793443,14.096054158781325,275911748.7069836,50209268.03431495,201462456.11714217,1542506309.8411367,924895565.5692492,3117875881.3919983,148687460.99659088,52143737.82763637,423526878.091591,587167163.7021592,130093454953.13837,10395732075.17002,704109805.421,114575431471.5868,8008715.160477273,435565959.640581,528475200.5399487,3647348309.183967,4601248467.012386,16800075.442977272,304395251.8578864,365341460.3638864,741718161.1184092,420672237.1923637,9143675659.538502,77025091755.42033,66645104500.97764,70357915486.0413,487292826.3123182,2571144132.6325,19700442358.53432,20216902146.922844,1.557727272727273,2.4681182235196006,1.6032139282735605,0.3007954545454545,3.988205796497079,0.8331136363636364,0.3565681818181818,1.481,0.6124528301886792,154037952387.93182,1211245345.725728,8107261626.504135,19217885920.21961,82028811059.6894,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896
2003-2,0.756708211319166,305.708,0.3356703978945113,652.3963138461539,8.236470415606963,294147980.8001445,17269592.65609134,14.102603076736544,276064795.0573721,50182727.79372081,201519587.26159823,1542506309.8411367,926762087.4812832,3118865604.6653376,148687460.99659088,52143737.82763637,423526878.091591,587167163.7021592,130093454953.13837,10395732075.17002,704109805.421,114575431471.5868,8008715.160477273,437325871.5196978,532264184.9190672,3662679592.298504,4601248467.012386,16800075.442977272,304395251.8578864,365341460.3638864,741718161.1184092,420672237.1923637,9149334944.391596,77025091755.42033,66645104500.97764,70357915486.0413,487292826.3123182,2571144132.6325,19700442358.53432,20216902146.922844,1.557727272727273,2.467045413823511,1.6031184627526365,0.3007954545454545,3.9912293197597073,0.8331136363636364,0.3565681818181818,1.481,0.6124528301886792,154037952387.93182,1211245345.725728,8107261626.504135,19217885920.21961,82227161794.38548,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516
2003-3,0.7568793078178597,284.168,0.3365530144162337,655.9115731054131,8.230479293646802,294520757.8358295,17288411.489389233,14.109151994691768,276217841.4077607,50167245.98670756,201552913.7625309,1542506309.8411367,929095239.8713256,3119442943.241452,148687460.99659088,52143737.82763637,423526878.091591,587167163.7021592,130093454953.13837,10395732075.17002,704109805.421,114575431471.5868,8008715.160477273,438352486.782516,534474425.8068862,3671622840.781984,4601248467.012386,16800075.442977272,304395251.8578864,365341460.3638864,741718161.1184092,420672237.1923637,9152636193.889236,77025091755.42033,66645104500.97764,70357915486.0413,487292826.3123182,2571144132.6325,19700442358.53432,20216902146.922844,1.557727272727273,2.4664196081674588,1.6030627745320971,0.3007954545454545,3.992993041662908,0.8331136363636364,0.3565681818181818,1.481,0.6124528301886792,154037952387.93182,1211245345.725728,8107261626.504135,19217885920.21961,82342866389.62486,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296
2003-4,0.7570504043165535,286.594,0.33653098238474,656.7464302482704,8.224488171686641,294893534.8715145,17307230.32268713,14.11570091264699,276370887.75814927,50165587.22167043,201556484.45905945,1542506309.8411367,930401905.5849524,3119504800.9460354,148687460.99659088,52143737.82763637,423526878.091591,587167163.7021592,130093454953.13837,10395732075.17002,704109805.421,114575431471.5868,8008715.160477273,438462481.2749608,534711237.33058107,3672581045.9766426,4601248467.012386,16800075.442977272,304395251.8578864,365341460.3638864,741718161.1184092,420672237.1923637,9152989899.192554,77025091755.42033,66645104500.97764,70357915486.0413,487292826.3123182,2571144132.6325,19700442358.53432,20216902146.922844,1.557727272727273,2.4663525575614536,1.6030568079370395,0.3007954545454545,3.993182011866822,0.8331136363636364,0.3565681818181818,1.481,0.6124528301886792,154037952387.93182,1211245345.725728,8107261626.504135,19217885920.21961,82355263310.54337,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036
2003-5,0.7572215008152472,312.455,0.3364055318384156,660.1146716275807,8.218497049726482,295266311.9071995,17326049.155985028,14.122249830602213,276523934.1085378,50119159.80496231,201754347.2436863,1544532267.3531897,932988863.9296496,3125212876.866717,149105261.73338777,51983158.123551644,424197467.2714536,587783609.9454554,130107691275.1087,10394625278.27334,704167338.9082335,114705716330.9839,7979057.062382221,439159108.9251241,536773345.6498114,3686861411.6189823,4603092170.54808,16800876.240979686,303492693.7958131,364995501.2103627,740640091.8250712,419340218.59102565,9157498856.155409,77004992869.51372,66632423045.992615,70383334397.9698,489117728.098564,2557430826.196546,19703613363.707813,20222331756.693333,1.557311029882877,2.4657665094378096,1.6017181235547433,0.301067129061027,3.992906696360227,0.8312110822834662,0.3544291759207608,1.4793370913595674,0.6114152885785968,154313356413.44116,1211478796.0401063,8089349468.850023,19218433382.21518,82459803632.12042,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324
2003-6,0.7573925973139409,299.651,0.335765690691913,661.4202382942473,8.21250592776632,295639088.9428845,17344867.98928292,14.128798748557434,276676980.4589263,50074703.74775556,201957955.1935469,1546908262.734064,935358225.4724495,3131464802.8059,149592294.83838788,51800148.58259934,424972361.44158834,588499241.3989652,130126450067.38615,10393433249.900108,704234530.5820794,114860600545.03555,7943402.612577913,439306573.7613272,537795061.1191465,3697713378.91216,4605230658.734264,16801276.781237565,302377505.7490944,364586050.5576998,739362412.0116861,417791759.98465216,9160653950.13224,76982125045.18892,66618163786.45156,70413841126.60748,491246285.931748,2541452091.5837555,19707387020.2554,20228742462.338394,1.55682392791826,2.4654898213939407,1.6002054508482808,0.3013635317058248,3.991431808955376,0.8289643621019324,0.3518951959619069,1.477362763564071,0.6101971577057551,154639229671.55905,1211747864.6040154,8068369328.283034,19219737281.36202,82507927450.4187,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294
2003-7,0.7575636938126347,340.885,0.3356249559233373,666.4659479716668,8.20651480580616,296011865.9785695,17363686.822580818,14.135347666512656,276830026.8093149,50020832.28292944,202214957.14555728,1550036025.0881956,937876709.9395428,3139512410.854654,150232505.18980086,51560326.241906896,425989970.7390316,589439249.7983502,130152422228.87473,10391943707.988922,704323002.629862,115065895586.86964,7896387.870002542,439194712.46541387,538488445.8269274,3709319278.313315,4608065347.737236,16801718.667245954,300901450.88391215,364045156.9104704,737677600.112287,415759469.5234065,9163828084.883158,76952110010.17926,66599923116.81848,70454757639.76314,494048899.8469375,2520450452.9993734,19712394953.26108,20237217122.22505,1.5561827061435989,2.4653128915841886,1.5982345824716202,0.3017535273882209,3.9889642985997615,0.8260038426525543,0.3485589388438073,1.4747574533721703,0.6085918239173141,155070148184.784,1212101388.534788,8040682621.371575,19221715500.342857,82536984450.04909,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215
2003-8,0.7577347903113284,322.275,0.3343562234594034,668.8839167216668,8.200523683845999,296384643.01425457,17382505.655878715,14.141896584467878,276983073.1597035,49957775.88718722,202524133.0924266,1553897797.0561976,940546710.3737036,3149314298.776522,151022010.73494333,51265172.99674877,427244205.32914,590597818.8152549,130185998458.57149,10390200798.196669,704432292.0386229,115321044754.86565,7838317.48317612,438831193.83514726,538864551.5037471,3721672424.85343,4611593676.641672,16802201.712265383,299073709.4976543,363375157.6141762,735594843.1689575,413257086.4581996,9167026650.718103,76915101699.52654,66578051022.14627,70506220833.77563,497511103.1869276,2494554076.509234,19718626673.645603,20247723995.58969,1.5553909037937237,2.465232648313551,1.5958165176862025,0.3022369142206962,3.985530261168005,0.8223461189507545,0.3444414703294917,1.471534628446671,0.6066075010242901,155604505009.91702,1212537421.0806632,8006404517.138649,19224444170.19608,82547619645.68053,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296
2003-9,0.7579058868100221,345.219,0.3323442108107594,673.6921894489394,8.194532561885838,296757420.0499396,17401324.48917661,14.1484455024231,277136119.510092,49885765.037232175,202884263.02686417,1558475821.2786837,943370619.8177072,3160829064.335048,151956929.4211318,50916170.742399424,428728975.37726974,591969132.1213238,130227569455.47354,10388248666.180227,704561935.7954036,115625491347.40312,7769496.100618663,438223686.6682905,538934429.8801979,3734766133.563488,4615813084.532248,16802725.729556374,296903461.8877089,362578390.0143192,733123328.2237806,410298350.03994274,9170255037.947033,76871254048.27249,66552897487.48788,70568367604.9838,501618429.2945132,2463891128.1791697,19726071692.329727,20260231341.66868,1.5544520601034642,2.465246019887027,1.5929622557534675,0.3028134903157318,3.9811557925347176,0.8180077860119553,0.33956385618199,1.467707756450378,0.6042524028376984,156240693203.75922,1213054015.4898794,7965650184.607262,19227999421.96008,82540478051.98201,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211
2003-10,0.7580769833087159,352.678,0.330185600544828,677.8824541548217,8.188541439925679,297130197.0856246,17420143.322474506,14.154994420378324,277289165.86048055,49805030.20976759,203294126.9415792,1563752340.3962662,946350831.3143276,3174015305.293775,153033379.19568288,50514801.37413331,430438191.0487776,593547373.3882011,130277525918.578,10386131457.596489,704711470.8872458,115978678662.86163,7690228.370850189,437379859.76260686,538709132.6868724,3748593719.474471,4620721010.493643,16803290.53237945,294399888.3514639,361657191.4564012,730272242.3188397,406896999.5195472,9173518636.879889,76820720991.45891,66524812497.896194,70641334849.72647,506356411.5124893,2428589774.0750136,19734719520.2342,20274707419.6984,1.5533697143076504,2.465349934609614,1.589682795934857,0.3034830537858087,3.975866988574518,0.8130054388515793,0.3339471621643319,1.4632903050460968,0.6015347431685553,156977105823.11166,1213649225.0106754,7918534792.80042,19232457386.673244,82516204683.6225,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358
