Ano,Contratação Comercial (Bi R$),Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Comercial (Bi R$),Contratação Jurídico FGTS (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamentos Reformas e Ampliações (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Comercial (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - Livre (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Ativos Problemáticos P.Jurídica - Comercial (R$),Ativos Problemáticos P.Jurídica - Home equity (R$),Ativos Problemáticos P.Jurídica - Livre (R$),Ativos Problemáticos P.Jurídica - SFH (R$),Carteira de Crédito - Comercial (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica - Home equity (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Inadimplência P.Jurídica - SFH (%),Inadimplência P.Jurídica - FGTS (%),Inadimplência P.Jurídica - Livre (%),Inadimplência P.Jurídica - Comercial (%),Poupança e Empréstimo - SBPE (R$), Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$),Imóvel Área - Privativa (m²),Imóvel Área - Total (m²),Número de Apartamentos,Número de Casas,Valor Imóveis - Avaliação (R$),Valor Imóveis - Compra (R$),Quantidade de imóves - Condomínio,Quantidade de imóves – Isolado
2014,544934828.4642131,2887184410.0898643,20314616074.029568,39854742817.087395,48898272034.032974,1356039065.7135239,1131235356.7065725,4313726610.53058,5425074883.791182,4024382939604.411,286405576194.5764,7753884285.342155,4313527131160.8237,234349208.7858323,12595535208.29597,22703112060.176167,111462564118.97478,120157387392.85214,235637383.27369148,6075208198.476461,1105613099.888379,5931363828.009862,13661337927.599241,138848269039.8536,815238705591.071,1914440942269.0461,2549831912013.942,15449194618.073238,62854176687.644554,310174493598.8329,323119955083.4013,1.4824085194533483,2.1438749902606853,1.5199134884885932,1.1162564219145914,4.902883939722372,0.5759701558586355,0.9866633172769724,0.8566052921724946,0.2433040232466235,6005061836332.0,14958088352.490067,804564466.5538546,634859432169.6643,1920070344071.19,722.817184173861,885.0116302250177,194172.839978424,402074.7903364947,1954709.8433291847,1920825.9981822202,227899.37652165553,368348.25379326334
2015,507375902.23048437,2750548002.9478626,16235065146.692019,42387088025.15747,43335668539.863464,1087504247.2884512,1462460654.3932064,3467631967.8424377,4617182090.127183,4287945041883.199,309747942437.29926,7811584166.392096,4487515741765.136,327553302.04300994,14038168881.757553,25198569224.972374,120850376517.84589,132207723619.91429,367353645.2898482,9709072031.744093,5198473998.421822,9635549722.1183,16320859849.637772,139289770876.16394,800138115116.523,2134926687769.8516,2672270190164.6567,17501285328.514145,103987738505.84961,284679243060.03784,314071124138.2943,1.5098145678967712,2.042840851565541,1.5844052348993543,1.2811672417042625,5.213405551870651,0.901614993831089,1.2681735086466601,1.5458551393710849,0.8123978154825146,6040005433689.0,14485934320.501728,0.0,697209855023.4338,2005358123720.4507,729.8231799038089,871.672415082425,190538.31414778958,370087.9014110776,1952668.6011085154,1922731.8497142182,202927.38399614356,357698.831562724
2016,478272761.0042857,2593105182.4838777,12753908749.085714,45117788068.66735,37919237178.83735,757054121.8810204,1924574504.655306,2184351747.870612,4040618785.502857,4705111934887.337,342170462308.911,7809527022.014516,4840058167625.1,400312552.8295919,15071598140.106123,27160340127.40959,124638696377.37755,144160314905.60184,560644666.1346939,14582343342.66796,13807014885.104082,21909604274.68204,18656167599.067757,140699253157.86673,789717313794.5352,2450899538232.627,2806854743402.7563,20645366775.596123,138798788154.8959,257497925188.82022,289212613693.8843,1.5079931972789116,1.9690306122448982,1.6127040816326532,1.3793877551020408,5.471105442176871,1.6876530612244898,1.2199489795918368,3.508418367346939,1.7306519256458879,6225717630270.0,13888593902.918367,1275346385.99,764902795534.839,2103776111799.84,705.4730905483406,936.2275725108225,201081.92835497836,474594.59469696967,1980728.7896774893,1925303.7531262627,292062.40443722944,383614.1186147186
2017,437970869.0722449,2470784059.6530614,8299165722.908571,46230551521.7596,34644525088.75735,769591147.477551,2751679359.4514284,1413789913.967755,3996626864.251837,5295173739410.686,396551964865.47327,7621451609.046962,5199720815845.748,473296930.037551,15129671709.824286,28005866388.83408,127371195013.80756,161535290506.38428,878873085.5734694,20930786199.08796,23361735288.721836,36467296447.08061,22327734685.478573,138775586963.6553,752851687553.6249,2866106887687.2817,2958639467825.559,24077728757.822243,175445609496.99,209560285775.67856,244692838720.69836,1.4610714285714286,1.8935544217687073,1.5947619047619046,1.4014455782312927,5.429251700680272,2.9928231292517005,1.4981632653061225,6.249965986394558,2.515731292517007,6523698485127.0,13003737524.927143,51181909443.59392,832055000283.9402,2120947604595.7322,718.4283940199657,979.240476622105,203026.41596128553,487323.4144972323,2115231.49780533,2044563.1436641642,316527.2318805478,373822.59857797
2018,399276117.0836735,2747490648.237143,6753572435.159796,45895033559.36653,43828912802.463264,982695957.7355102,3158464434.4208164,1976441111.0363266,4911355832.060409,5920502004907.284,458851623911.45184,7244809101.463964,5435833739042.396,478929656.5110204,14387411759.257755,26859645355.67041,128702555692.67674,190748942850.08978,1194487711.2753062,24170020490.728367,29753383674.043266,48057832459.03041,23099307133.102856,136961544891.75366,694684027549.8472,3255559848243.8286,3086526556183.973,27925941290.17592,179218595599.88367,159042153515.98654,189102882150.37836,1.356156462585034,1.9392176870748299,1.484200680272109,1.3636904761904762,5.07204081632653,4.900765306122449,1.6382653061224488,8.438231292517006,3.619285714285714,7022762775486.0,12531569213.75796,105038187404.54146,875677338037.0371,1983776020063.4521,725.3771486442935,993.931619320598,213969.77615194645,508254.69700685854,2177449.25869821,2101177.9662289154,339307.3586717976,382917.1144870074
2019,425454233.68877554,3294925995.535918,9974891612.404898,44503255265.281425,66918023640.66592,1184855503.650408,3026276591.342449,2843479657.821633,5599694318.935918,6645016680392.673,528304637094.8396,6910749036.6198015,5746233644641.025,436035560.29734695,13086034577.092245,24559823823.133675,124606024409.26878,228303402884.69345,1264093138.9969387,23088619050.19245,30692722153.69592,55039786728.3549,22270517178.779182,138205084217.29,663198115577.7869,3611242042118.118,3318624677362.681,28622673280.273876,152725482573.10757,127665424387.09694,135326715070.95796,1.1766156462585033,2.0275,1.2909523809523809,1.1985714285714286,4.551887755102041,6.172312925170068,1.5068197278911564,10.257721088435375,4.320799319727891,7806594277844.0,11474603081.12096,167132300936.3979,911684445925.9257,1800332016010.874,737.9125936829025,1013.6196250315563,236649.41409521893,559886.4331341548,2293543.9443033203,2207086.170468417,380221.3277302687,416314.519499105
2020,525252943.6959183,3885020538.1636734,14255748875.463673,43016040703.978165,90144615177.76672,1705578463.8583672,3016094423.8834696,4536387649.424898,6565787090.182448,7524315903151.8125,620262151336.6093,6740788783.102112,6083734433011.048,397231240.33265305,11325548245.602654,22066235813.258774,124377860573.09244,278893516656.8845,1135808716.174898,18079445421.94612,24878891240.194695,52550438151.44572,22372962189.570408,142549895388.05777,670796902678.1176,3921753224589.7876,3760043907534.113,26183970589.134693,124428816737.55551,115163996100.23389,98768589001.53796,1.0168027210884354,2.201173469387755,1.1129081632653062,1.0601190476190476,3.8868707482993194,5.812874149659863,1.662704081632653,9.727993197278911,3.710612244897959,8470009834028.0,9680456624.587002,287664324097.81537,1014081496032.5842,1716863361135.6619,744.615306122449,1029.9632653061224,247926.0,579362.693877551,2427249.903877551,2330479.7546938774,406105.5714285714,421183.1224489796
2021,616868741.1011486,4449211499.36529,17798998193.63557,44450143797.80999,105291459157.56598,2007248542.404614,3015990961.939584,6018023786.760705,6925139502.694109,8306072608805.801,707905171665.2887,6650130168.4912615,6359114735006.249,385610122.04544723,10650254174.067898,21109319722.09226,131800637935.58708,328135449854.0356,974940237.749338,12188327654.56902,18134726900.175117,47737218700.619545,22125408756.79074,151348598084.39523,703946377196.6729,4166276635392.6553,4232922747790.3555,25060977026.96215,104931169682.68399,116357828560.46503,85776102096.58124,0.9477028926108165,2.341767275660535,1.0200141020180686,1.0550682987091624,3.4935359056751003,4.983664328842502,1.716935045075865,7.774948900792926,3.133565833625555,8910964100831.0,7729602849.75832,446496665003.567,1161412116073.4075,1813086775232.4536,747.1232298480503,1036.4733434299055,256323.08681963227,590623.8068171481,2537088.7080533244,2428653.9258219576,424153.65041143785,422793.2432253425
2022,692338965.9409178,4794404249.634854,21757860043.100815,45108897524.48215,119868544031.50912,2141409265.3291373,2778788824.226288,6954737534.591448,6880576910.753775,8810722039465.984,758638053815.8452,6491187810.746102,6695988608260.442,383090517.8809285,10095929319.87531,20351231223.427708,135571738166.58224,360850661331.17505,755242833.9061835,8103579573.030055,14171968534.743992,44269523760.26494,21923061013.79611,158371508665.18326,735110844328.8407,4316319482463.5825,4590482043100.022,23868152186.191055,95696917432.84837,121009482263.98618,80966495177.9179,0.8591330726538242,2.3956926453124834,0.9090934161054486,1.0425685088434937,3.264223402747744,3.606895386330647,1.541703295206393,6.807891205085045,2.490648185499752,9261869924844.0,5900261127.184383,564944234990.0107,1260678632060.8347,1861350272029.3667,751.7172648740816,1044.7362516327207,266924.40780469094,611302.8587912358,2642093.27801282,2524217.152558403,444592.48572774994,433634.78086817684
2023,126466228.00632307,791768581.7572,3921642060.913354,7529757400.236938,20651284024.188522,408498618.77180004,499385265.6257385,1269010067.7646308,1205776053.201954,1525996078478.039,132536941731.90031,1080442245.9661846,1154251063951.701,63020531.27326153,1526529019.1333382,3257063186.545,22922257813.18525,63147792285.74167,99340476.03703077,946742297.3393385,2055909238.963831,7155596376.476477,3760276713.690661,27012565276.986412,127826693684.89496,732594348982.4017,806374686907.3977,3792448502.559738,15658030727.51714,21284988591.22409,13392912402.982258,0.14389871794871792,0.4183346153846153,0.1493179487179487,0.17897051282051288,0.5197051282051283,0.36092820512820506,0.24938076923076924,1.1084782051282052,0.25217307692307694,1548532598692.0,624412945.9575729,109657100591.80862,224123374767.31326,324953784450.9695,125.09111666666666,174.08976666666666,44010.05,100269.72833333333,449608.1420666666,429809.6333333333,73658.15666666666,70621.62166666667
