Ano,Rondônia - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Rondônia - Produção de Cimento (t),Rondônia - Consumo de Cimento (t),Rondônia - PIB - Estadual,Rondônia - PIB - Construção Civil,Rondônia - PIB - Per Capita,Rondônia - PIB - Preços de Mercado,Rondônia - Desemprego
2003,0.6888434875107322,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,37.22819021248724,1012.461097427639,1233.76638810209,25.89598406620653,21.936745501624618,80.58709752158067,1.3238820784539125,59.844,185.386,20683496.954476897,1587671.9110230566,11.468162372992843,18283502.20393496,8.22606242703537
2004,0.6910901696840182,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,36.56814531800303,1010.3685017346584,1226.80381810077,25.74314042768633,21.867755816309096,81.02152908751401,1.4190002083268265,59.844,209.004,21008942.254614323,1609823.6625024634,11.519650080642656,18400224.684439994,8.152625843163605
2005,0.6932161778924841,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,35.72399910352327,1007.1440983021854,1216.1414588881871,25.53367957627725,21.78477542380432,81.68556863928394,1.5533942924406443,59.84400000000001,233.057,21306129.29338892,1615998.981977956,11.569862969272728,18489333.9079489,8.130620695403982
2006,0.6952277243489424,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,35.295451084051884,1003.8042701673248,1210.458378023424,25.431107700576167,21.770512910023584,82.19160324859745,1.6402462444241532,59.84400000000001,272.001,21576404.354082063,1633991.6755635706,11.602119460943063,18558157.99006503,8.038397099724127
2007,0.6971310212662047,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,35.88217579394282,1001.3654083153368,1218.4332095568438,25.598930574939985,21.907678513953964,82.15202873064824,1.592737859080831,64.04148654255368,351.377,21843128.064083267,1630116.5086131608,11.647840570312615,18640930.51566027,8.013839426509485
2008,0.6989322808570833,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,36.64562057196417,1000.6628490275951,1257.613003367859,26.13296146042687,22.070496396087982,80.67083775960707,1.3214467507564005,150.4489615026345,390.788,22084473.07476804,1637884.6237480463,11.68935108413137,18709413.23380135,7.979888110580099
2009,0.7006377153343897,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,33.687787199433934,1000.5393251069804,1336.3326452999515,26.38950797346834,21.93367624962528,79.0311782327626,1.2505816737336255,336.1776081185062,452.325,22264726.88261885,1643077.7772213237,11.684640472926937,18735288.355615526,8.008176218736507
2010,0.7022535369109363,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,31.961435522496394,1000.5521760902334,1343.3779442354935,26.28496589652476,21.81289535187072,78.85853641455714,1.335343575896049,502.2015139547184,921.425,22858376.43970887,1640520.6342760555,11.724601740511307,18910993.627270397,7.971248256718279
2011,0.7037859577995349,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,31.660272586183,998.6791315252794,1315.7815288964678,26.12646859341989,21.89203453355771,79.74979502649468,1.4139191395359745,583.0098607288096,1021.57,23381279.83709211,1618453.92870425,11.764179190281451,19030166.17538766,7.95661448478801
2012,0.7054010505050504,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,31.70792694203891,990.5330262757984,1324.0176972212644,26.09128218890179,21.92498539836751,80.00478106204358,1.485511649666105,560.4438049481561,933.501,23830981.73470097,1560372.2482778665,11.757681852187558,19105297.47658029,6.546488807488808
2013,0.706351138047138,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,32.529574142954914,985.8213962202292,1303.040621993125,26.29315588651637,22.172971869053992,80.05689350951104,1.496423939247128,460.0010466861372,826.67,24222721.71277601,1518707.1638362962,11.74171860716479,19160603.929625086,6.917220786572427
2014,0.7079637328843994,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,32.95842318386119,988.9721512970506,1308.9253538251514,26.593333759104983,22.311497364820088,79.43597970201718,1.3996117024963528,357.67794435877346,614.3947142857144,24587089.25183289,1494999.017378023,11.767207581315391,19227961.864787627,7.287260495084175
2015,0.7092940439580994,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,32.784964443684785,991.74908239002,1330.3027215504203,26.651522908922534,22.114977201997306,78.57241241651843,1.3767238996174924,276.938162855649,510.2737714285714,24869926.92272565,1466316.676318013,11.78809095366814,19275731.54268922,7.654493440928027
2016,0.7149099968540624,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,33.48276329541208,993.8305830938004,1336.5627159033331,26.64476832153484,21.87554439965047,77.7214834100178,1.4146327617880308,239.49488102570723,410.5805142857144,25075340.307685606,1450032.936033697,11.811765300867616,19316373.0991863,7.643672813933017
