Ano,Paraíba - IDH,Paraíba - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Paraíba - Produção de Cimento (t),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Paraíba - Valor Cimento Portland,Paraíba - PIB - Estadual,Paraíba - PIB - Construção Civil,Paraíba - PIB - Per Capita,Paraíba - PIB - Preços de Mercado,Paraíba - Desemprego
2003,0.6565097942884002,392.755,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,1475.8298370874552,16.405809070352213,947.2811049887854,1331.3500671069962,23.75063672138514,19.809501462685187,80.47117590641653,4.378713485928764,2.441478754466892,30172923.326609813,1631333.837768111,7.291168798323116,27363422.5763658,8.315958175499443
2004,0.6617789408376329,354.563,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,1587.8715705849568,14.098207799504742,947.675104336436,1305.3920145760594,23.42812530389544,19.58706425777937,80.85983835011969,4.352905132056596,3.0571628630230308,30619047.19571049,1650725.5256830454,7.318403804457935,27504218.70379089,8.243195383104293
2005,0.6665443953453198,365.065,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,1686.2932420893333,13.228324071067725,948.3802858301584,1277.6753470818735,22.528887093028985,19.17304343138269,82.91978628373174,4.533780084458075,3.724981878487994,31052935.558716934,1663425.1059323966,7.349947659054197,27653346.440711197,8.219443340939913
2006,0.6708201580897737,430.47,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,1796.1535856017326,14.112250368348295,948.3709154574402,1282.2496564700375,22.38321591581006,19.14734724505243,83.47092615611973,4.738769631239623,4.383606918972908,31457815.93264509,1689128.4123676885,7.378438122060885,27787999.438635044,8.131040761207393
2007,0.6746202293493074,523.308,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,1888.0854549006824,14.726360670019524,948.2583458212016,1270.2835781160768,22.302561546186716,19.24327216993333,84.31611032200804,4.761986865596868,4.9642007561330255,31794137.58007397,1705364.4210825672,7.389854554683541,27857109.201143105,8.106365076885421
2008,0.6779586094022336,707.783,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,1945.158358625904,15.160191456060648,948.238547091252,1293.364353145296,22.419324379435743,19.529326827794605,85.15239590597969,4.537775792412844,5.342950836232837,32089483.71354523,1723656.745915467,7.399994574675213,27905031.304949123,8.076244695918643
2009,0.6808492985268648,734.672,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,1991.8716247154368,15.41123351746985,948.1397211621688,1311.2672241837934,22.46797341310932,19.70803684279465,85.8120827573676,4.395976060717328,5.534726752812589,32298549.816324327,1737699.445920672,7.397195256727192,27900075.1456034,8.10541649448075
2010,0.6833062970015142,834.169,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,2087.89462777246,15.193321109432205,948.152889499058,1296.7854922916304,22.336913205144185,19.669456163128533,86.26681575781792,4.409553252505435,5.8511298798322695,33088961.618100487,1751826.999476791,7.427988012569527,28074031.0077914,8.069180745313842
2011,0.6853436051044943,946.248,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,2212.1986885465944,14.487239462762837,948.3354926687138,1243.0904492960665,22.322079334521742,19.58145785266008,85.93956397527798,4.376358682927177,6.127922420462993,33840494.76607863,1755792.4138059234,7.458472375094983,28236467.649703477,8.055988526817085
2012,0.6868460686868687,1103.437,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,2280.6240324063456,13.985941841707644,948.4526092485968,1177.3841744915198,22.350185753827503,19.38296057701549,84.82915800232094,4.240365917591611,6.316335224000473,34532057.04471521,1759354.2860615156,7.482243507564315,28379519.648168903,10.160574684574684
2013,0.6879999077441078,1223.444,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,2268.2967543679715,13.914983831180582,948.6740766993548,1124.8473616722074,22.35230889305716,19.17188237807137,83.79829133696448,4.142773459074807,6.460086503293157,35107219.96747984,1748210.7230858835,7.492332178490289,28465321.50274282,10.474672564946896
2014,0.6894999000561168,1240.2328571428573,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,2266.0393227705326,13.565522229596027,948.9520834230244,1092.1065695960317,22.39701345821185,19.115947205747126,83.44395357768951,4.091378581407343,6.591018305947606,35591368.564941294,1740643.1022210962,7.503407782378812,28529402.26245588,10.857996708918035
2015,0.6894582250607932,1076.248285714286,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,2276.1343578290207,13.574694942742042,949.0082028891276,1112.0647148851688,22.423489080278987,19.01707856846906,82.91417270468749,4.121852063764129,6.687786327840666,35884146.9988427,1726041.8344146127,7.497228412306468,28515644.676726814,11.087922901279846
2016,0.7008003728679898,928.2368571428572,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,2291.680633321482,13.373310859545882,948.9770918471296,1153.43088864874,22.49027375687994,18.907443507001823,81.94285432651405,4.149761000268755,6.750988865521869,36052857.33164998,1712480.4809564252,7.491294277162192,28491829.19193209,11.207329176273609
2017,0.7005094976741707,786.338,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,2353.6432219188982,13.874374107560296,948.9904911951662,1103.061823437726,22.557992533065644,18.973766243047237,81.8892946603173,4.0646856775521,6.72615374561064,36092307.76933864,1709809.036191666,7.490431132928696,28476378.010818563,11.081900635107464
2018,0.6990103610990953,707.565,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,2597.624854490206,14.562684977653111,948.9456965567182,1028.2899931399836,22.636856473476826,19.105219210930883,82.22870214549096,3.916527192559531,6.747504166081519,35979829.73313319,1707995.682658071,7.4830066433879745,28422048.833863672,11.111648267657548
2019,0.6979203939262857,769.08,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,2980.034770576754,14.522709747647266,948.8405986643742,909.7056113328654,22.659929559547404,19.15021494562038,82.34711048821721,3.641942673247325,7.144111173571265,35740539.17514447,1711137.7834554634,7.470360953331751,28363754.011918757,11.192075644891084
2020,0.6965495206468572,1051.694,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,3260.773750901022,15.163989764432069,948.6803925793824,675.6332929078559,22.66834810003608,19.18362275061362,82.45379207904188,3.316912958934117,7.69127509778509,35300249.96053983,1712857.0306681425,7.451128332431823,28268711.360074528,11.185263290619428
2021,0.694963113432935,1112.087,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,3425.1661256197767,15.45493118272966,948.6097345561446,534.7275545410375,22.6043824357307,19.20243467762809,82.82571921243998,3.0947945879579257,8.023020467111117,34663694.00530011,1708554.9122775088,7.437102099115344,28182281.629406128,11.146894648150242
2022,0.6946870328359291,1064.438,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,3496.801973545849,15.301032644010837,948.6255614758747,521.30437417167,22.508498415767587,19.15776404849692,83.04490686764065,3.0231637695621334,8.140175642935253,33890174.205940165,1703835.4467884526,7.418673740394615,28070696.963238053,11.108223833429935
