Ano,Contratação Comercial (Bi R$),Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Comercial (Bi R$),Contratação Jurídico FGTS (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamentos Reformas e Ampliações (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Comercial (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - Livre (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Ativos Problemáticos P.Jurídica - Comercial (R$),Ativos Problemáticos P.Jurídica - Home equity (R$),Ativos Problemáticos P.Jurídica - Livre (R$),Ativos Problemáticos P.Jurídica - SFH (R$),Carteira de Crédito - Comercial (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica - Home equity (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Inadimplência P.Jurídica - SFH (%),Inadimplência P.Jurídica - FGTS (%),Inadimplência P.Jurídica - Livre (%),Inadimplência P.Jurídica - Comercial (%),Poupança e Empréstimo - SBPE (R$), Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$),Imóvel Área - Privativa (m²),Imóvel Área - Total (m²),Número de Apartamentos,Número de Casas,Valor Imóveis - Avaliação (R$),Valor Imóveis - Compra (R$),Quantidade de imóves - Condomínio,Quantidade de imóves – Isolado, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Ceará - Valor Cimento Portland,Distrito Federal - IDH Longevidade,Distrito Federal - IDH Educacao,Distrito Federal - IDH,Distrito Federal - Produção de Cimento (t),Distrito Federal - IDH Renda,Distrito Federal - Consumo de Cimento (t),Distrito Federal - Desemprego,Distrito Federal - PIB - Estadual,Distrito Federal - PIB - Construção Civil,Distrito Federal - PIB - Per Capita,Distrito Federal - PIB - Preços de Mercado
2012,461677572.9183319,3372771570.687321,29803061407.663296,31081283181.376343,67772821148.67145,3413059296.5923777,127661393.59824142,7824880124.13765,9102259009.069098,3101675845533.04,215046228317.1337,8870485990.854622,3750765681376.135,20846466.438168302,6607575074.866452,12671293387.19819,95171715326.0324,101163815199.67534,204608643.404836,220083265.00830096,451238856.5382747,1695787772.8114753,3674697983.340872,129205068769.59486,778415122914.3765,1393458264789.1238,1978231149042.0212,19698986226.0708,0.0,302600706778.0714,317043553605.0824,1.3431873345513483,2.37282753756732,1.0599476689078315,0.8469536305469726,3.500667600660907,0.0,0.0004447435552651,0.3865961045161752,0.0,5658387259671.063,15929889127.255207,0.0,475508070085.6232,1344824766616.2732,652.472922050018,782.7673189291705,143017.36726028306,332821.3867385328,1369410.7730970287,1355745.046352795,174747.31508704458,367771.0212346634,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,4.383850635234274,0.8518968565656567,0.8026612228956229,0.8323801481481481,3799.093892491614,0.8443159515151515,1261.667,10.763244607244609,134810849.25412846,3550906.444352927,43.92639693480095,112765217.51323693
2013,517303818.2812301,3132612976.6782656,25802467518.53792,36154894267.22376,59258148944.38192,2348798492.9620004,560341443.278692,6197060519.950147,7420862681.214107,3593289542578.8853,251693474437.71985,8794722862.297634,4081435222714.82,113645366.99875712,9586260505.04951,17832177314.09738,102897966962.77615,110579149302.19284,205174419.259383,2492235005.5861835,425860023.5387834,3457292262.733796,8431794701.978306,135071988659.44984,802330864424.636,1656431245793.8289,2284464255858.4766,17487675419.321514,15745277141.553509,313664880523.23663,322130568708.17584,1.4035590954121384,2.265114862891477,1.2762603708683145,0.9637595120103298,4.169582487142553,0.1796405711770362,0.3265953496081411,0.5534406959761791,0.0333419723431369,5925279094558.404,15526297327.090109,0.0,558854818631.4796,1645957170819.511,666.6709706866319,817.8080287813546,156336.32770890903,360811.2180910408,1507888.3595318017,1490006.6264406624,195067.70826020528,369860.607648908,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,4.470377422092817,0.850804927946128,0.8055496581369247,0.8329951604938272,3818.436360713829,0.8441756141414141,1152.069,11.341795557617724,137200244.59717315,3512366.254462568,43.88000074557417,113194506.92482129
2014,567641284.124733,2779340357.6933804,19543606476.373924,41433965653.544136,45701625325.37301,1011495538.2025764,1232343325.432653,3420812124.1238074,5088493730.326361,4142817755621.4224,295002623386.36523,8659321809.641588,4373069768779.274,251097559.61081755,13325736125.033554,24044564942.216137,111540687886.5387,121898753572.08733,224565968.5949357,6448063276.413103,1124944871.6563542,6534597933.781791,14717610607.91208,140639917421.832,836261269050.1871,1982138770660.6216,2609380131080.7856,14282695528.836937,69095287505.93262,318052015037.8993,323533933790.01746,1.4870805999791414,2.1088676986703856,1.5531763037649595,1.1014093838451209,5.020584392822706,0.6242588246614202,1.0890601349629625,0.8936409034993987,0.2690344931710267,6038777822351.111,14738559853.181026,0.0,658592169442.7872,2010184563868.828,680.5945815312655,854.1804644732316,169380.4930352846,389740.4552591412,1649990.0657312954,1625453.6147237674,218379.7654379596,371850.6660773045,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,4.422096033875454,0.8492053386083054,0.8065121296483352,0.8326614238683128,3551.8139078344907,0.8438569153198653,979.9988571428572,11.799788321817193,139269245.1539519,3476697.6680569304,43.88367040889595,113558730.43599048
2015,517939238.67383534,2561731222.5542107,13275961988.63313,44697057489.85005,35397690168.08871,713859890.1155254,1796510097.9487064,2000000005.1740384,3627201873.6563406,4509033946145.6455,328303583933.8167,8454681796.17992,4598532448921.512,391032424.2545757,15403973087.028343,27738848181.49309,124088988944.38284,136645413739.87167,388418178.4192804,11381364056.53788,5913002131.374437,11288459643.49753,18908401650.856792,140633648040.34906,820295919193.5386,2282392102999.4546,2791846789824.1484,16330767821.122229,127744538393.93018,284200212511.5372,313608097899.61664,1.5556836838874044,1.975817924305464,1.685830164263454,1.3423367999557454,5.51974136290487,1.091255755098307,1.5547161342885898,1.7445826836355331,0.9512980453803764,6056761724921.883,13819053598.007326,0.0,745034183509.1047,2157580139274.8003,693.9675020657178,891.5732007940369,181848.70695974948,419341.69854963775,1793781.1092771206,1759779.889397899,244854.1749038886,373692.6958421802,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,4.184843996404759,0.8470557834923308,0.8078048071190298,0.8323832091906721,3186.7735937060456,0.83666804372513,811.1946857142857,12.093704620142406,140716415.89201343,3438025.082619837,43.849398420687805,113703063.10790682
2016,452414449.59277606,2516858999.914552,10113703216.182528,46405443729.63464,34074110568.23899,644534477.7992187,2158540019.9782777,1665336879.8736622,3472210233.664446,4868614445084.972,356781671662.7797,8171201785.206062,4951267342649.448,459021480.00902784,15891923064.326984,28591763948.984554,130021353185.7134,150960524581.57535,645247082.3213054,16904911934.791348,16479116640.641111,24795089462.060955,20345953331.257866,140657692442.75854,778546212763.409,2587088619134.4014,2881541478458.3013,21960264467.735985,164283549223.45084,240310687441.347,283048384702.9844,1.531973007740766,1.914080495311462,1.6610318197057683,1.485108771667915,5.674187089555308,1.931094775296393,1.385614301338119,3.9985595730198846,2.1051248322527285,6245406272623.309,13539986929.71206,0.0,801013634212.4373,2155759554228.2927,706.5134797717876,929.6748125330056,193439.81320264345,449347.548269334,1937326.707750889,1890679.328658845,274661.6249415735,375338.1962658625,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,4.095297427060689,0.8546329915102202,0.8136843470727193,0.8345836310637236,2900.2093767480696,0.8357287749728691,638.8184571428571,12.238790236528455,141622933.32009846,3431105.5032185623,43.82855763714359,113758495.26670551
2017,421368923.9609252,2497710489.3912363,8456308930.63662,46078875524.86475,36807557457.81853,827285981.4366533,2800465449.356899,1622534053.99991,4367617166.053492,5389552463437.291,403268753019.8243,7799280740.013445,5315585494138.967,465651742.3756932,14713638738.545404,27345827731.753017,126292691359.66742,164579496286.4998,964807328.9071486,22341699525.63272,27261640410.808662,42051886749.25944,21964411238.554573,138646191184.36032,737561391620.6583,2941743161106.6987,2954747023947.6685,26173448620.440228,176270800034.4364,197331059192.5203,230786036191.8125,1.4258739950407744,1.899902565357308,1.541671852500612,1.3907330850959143,5.33960302143674,3.3153591053549136,1.2936003994164142,7.177463198790058,2.9093911518672013,6624961867886.86,13077687778.130796,12984502537.515053,836615171090.8673,2078289208863.3445,717.9562621312739,968.1738744793736,203852.65548430613,479490.60472503374,2078692.078734211,2015845.8107023933,307972.80383459537,376738.6666706785,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,4.269491469840179,0.8519632634656947,0.8129283786247847,0.8334548702513348,2730.619877429926,0.8357041181522209,584.646,12.0856322334972,141735097.28149042,3426736.2023834586,43.80254589539537,113655813.70873272
2018,416657971.773468,2797145343.411456,7937759774.832973,44678779047.88002,47272304028.70153,1124212632.3422132,3283965914.0001664,2253292608.9346814,5597951524.087076,6005142584803.19,468361219420.5594,7329317623.895502,5441794135647.986,438193732.9088799,13391755377.216526,25467476947.567524,123119005360.19252,191182614561.11435,1230021064.976647,23942347354.633484,29975789540.43991,50286563671.46742,22824846626.34768,135912396287.73631,692537124643.4064,3279978294825.4526,3072556422890.894,27311350746.522022,162717678412.6286,159195080370.44513,175958694146.21664,1.3049121384221214,1.9780127651885604,1.4218756445261818,1.2318836930480188,4.780211203634095,5.263571839898655,1.645466335611153,9.002911738389924,3.582092119772026,7145285140586.975,12503727838.747631,88630062372.1279,861734579355.5616,1927397842269.434,729.2199056597977,1003.5898359928188,215226.4327492268,510837.90764932206,2211926.3587798323,2132468.940831838,345084.3112119321,380980.0291866168,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,4.518185137002371,0.8486871965080307,0.8143764130452197,0.8326780402741835,2633.351748430539,0.8351317652569683,571.13,12.018938170763702,141316093.49791422,3449895.3563211462,43.79448875314405,113450057.79229608
2019,446262467.08708125,3484252131.967882,10912818230.091043,43790963690.29561,72273321219.67271,1266781965.3930693,2911811421.060453,3239161763.4562826,5802891003.933581,6719129674171.888,540390689781.5286,6789157717.104657,5626264133802.683,412740752.7246982,12897157952.631165,24077912342.986088,124240740752.3664,235935840113.7104,1225635237.1571994,20817247387.88444,26132803390.12081,50253238933.98237,21865585615.98785,137982924536.95035,662057550961.5187,3607273954468.518,3350149512098.619,26783578920.8476,136876642942.1942,130659608709.34416,132691536507.77284,1.1582902437602758,2.077661452919312,1.278783618361498,1.141874028824437,4.396670865483304,6.442136187780887,1.731229221180701,9.556146291623245,4.212288781257897,7913517932710.876,11362841203.483055,190412686848.556,904787295103.1432,1754375905043.0005,744.2611590596235,1026.616438803971,244539.83118641344,575809.2934024468,2349403.8251299625,2257938.091211776,397283.0654752689,423066.05911359127,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,4.886727349642545,0.8447496689178515,0.8149560869584215,0.831557862117291,2741.331349622988,0.8350528348257835,637.028,12.023661895135747,140239130.38715172,3471857.408616907,43.72794037718175,113149571.9707696
2020,548941248.8396512,4114911169.0232,16253330331.288744,43209940984.06629,98092934177.95464,1654541707.2935677,2569169420.975532,4814714958.570644,6074371387.286965,7591249540349.218,626251389756.2969,6512378907.513092,6111466779225.309,396920780.6697044,11708394293.154976,22246123095.136475,126782739028.53084,290149969337.86847,979737183.1535088,15153196190.88566,20666337966.52529,47244381943.15546,21374168260.16497,145247908812.00647,681117341956.5228,3913183168747.9946,3860713258261.3296,25012001060.97948,116039116054.99686,121885024049.83446,105537660548.14713,1.002450459474104,2.226083720292309,1.099526668041195,1.0953585315270025,3.956468452585472,5.350017999391802,1.545854235879221,8.817920330819796,3.605302942871495,8604743091044.339,9296431199.414225,336232498555.7874,1027990877715.6128,1706876244145.6562,750.7706483620719,1039.5768504641894,260454.349855578,606786.9584985743,2489808.9996513315,2387533.6351623936,428464.47119534295,438776.8371588094,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,5.419116804004386,0.8400905479103836,0.8124975494091871,0.829063122309772,2906.704912108724,0.8345121834463093,662.625,11.936222220053123,138170308.2823351,3499967.188667909,43.62460093986788,112607313.32176971
2021,663881084.0830292,4421847576.98768,19330314206.16469,44880704614.59634,105893109231.91837,2156298980.3059096,3019004240.932615,6407699215.018869,6917481103.761177,8404229928048.164,717235540407.5847,6550284502.20561,6527497461542.859,391535583.74159366,10311548824.151615,20948003837.13908,133415314783.34462,334476312115.4581,817197991.8317666,10353703658.253922,16707191289.008652,45401583277.976944,22381428180.28515,154985405975.90744,736466109135.1836,4148228849514.736,4382282298728.625,24249740676.416595,107677982296.72089,129761174841.0552,97546425840.66498,0.949915403177859,2.370287934063007,1.0056392419902285,1.0889062835985115,3.477791314643014,3.551004815050595,1.5582710339726484,6.902811697428187,2.3859853367928303,8853422073856.291,6979326226.314474,523979206656.8995,1213737851633.348,1903121657844.02,745.3796922523203,1035.366551470514,254313.64001382465,582989.1954486701,2569482.4362351424,2459135.9155894327,422178.1904187495,415124.6450437452,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,6.003453542582134,0.8404624159022366,0.8113609629918405,0.8290688607015695,2968.2816254946406,0.8351951092141555,789.947,11.866376407842488,135737143.37702507,3512241.123256957,43.68742113415946,112328623.01762976
2022,701033243.4821082,4533216144.469487,19978882658.15001,46993191688.52692,104673621067.16,2202753048.676794,3385153713.95689,6913686925.231437,7270589591.290106,8730558413553.642,759027735430.7714,6630934217.644932,6650722568021.581,395203815.7391548,9978437563.54529,20873511077.124702,138871338047.1609,351527479587.9018,813484041.9437438,8827432477.85336,15427294793.992374,44945470283.96806,23124376332.97132,160531329491.7629,766910553433.3163,4243055565302.249,4594660304062.9,24732248675.142822,106998356192.16818,136406586677.23048,99082548572.67094,0.9402348976031688,2.3832543471013263,0.97539423982815,1.0764324397149108,3.250096400852167,2.901738395249424,1.6742876677235143,5.660393590403672,1.951497487324932,8888513893897.898,6510392204.415995,622286395679.9285,1310433596558.3372,2063735313406.814,740.189299707226,1028.7576307754575,246148.3120481196,561203.0752257777,2582722.4308308847,2467271.2132928804,410139.7795857284,397211.6076881689,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,6.367448548132178,0.843868090075167,0.8108483232638259,0.8304387571289849,2994.3984121621525,0.8364855736881697,786.865,11.896986554874037,132793918.27266905,3525212.5369577277,43.7634032268511,111974021.59133136
