, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Piauí - IDH,Piauí - Produção de Cimento (t),Piauí - Consumo de Cimento (t),Piauí - PIB - Estadual,Piauí - PIB - Construção Civil,Piauí - PIB - Per Capita,Piauí - PIB - Preços de Mercado,Piauí - Desemprego
2003-1,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,0.6492176448058882,24.66976,21.844,21360630.68419292,1358044.2713284844,6.061140951799438,18681487.00784765,8.192265612259057
2003-2,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,0.6496609713002554,25.16714461538462,15.814,21391024.460593555,1359835.0997859696,6.065064519547902,18695064.532363348,8.186155968290219
2003-3,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,0.6501042977946226,25.520403874643872,16.067,21421418.236994192,1361625.9282434548,6.068988087296366,18708642.056879044,8.180046324321381
2003-4,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,0.6505476242889898,25.519725303215303,14.938,21451812.013394825,1363416.75670094,6.072911655044829,18722219.58139474,8.173936680352544
2003-5,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,0.650990950783357,25.92931151011185,17.765,21482205.78979546,1365207.5851584254,6.076835222793293,18735797.105910435,8.167827036383706
2003-6,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,0.6514342772777243,26.26144484344519,17.561,21512599.56619609,1366998.4136159106,6.080758790541757,18749374.63042613,8.161717392414868
2003-7,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,0.6518776037720915,26.61879968215487,21.26,21542993.342596725,1368789.2420733958,6.084682358290221,18762952.154941827,8.15560774844603
2003-8,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,0.6523209302664587,26.938799682154865,20.367,21573387.11899736,1370580.070530881,6.088605926038685,18776529.679457527,8.149498104477193
2003-9,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,0.652764256760826,27.309193621548808,21.737,21603780.895397995,1372370.898988366,6.092529493787149,18790107.203973223,8.143388460508355
2003-10,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,0.6532075832551931,27.577664209784103,23.881,21634174.671798628,1374161.7274458515,6.0964530615356125,18803684.72848892,8.137278816539517
