Ano,Bahia - Consumo de Cimento (t),Bahia - Produção de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Bahia - IDH,Bahia - Valor Cimento Portland,Bahia - PIB - Estadual,Bahia - PIB - Construção Civil,Bahia - PIB - Per Capita,Bahia - PIB - Preços de Mercado,Amazonas - Desemprego
2003,1658.094,483.90023588948617,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,0.6698992636044152,3.692839210216516,131734360.9064606,8384592.526234203,8.566149432120241,121635930.94573908,8.63094167820409
2004,1733.557,522.4561710782566,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,0.6736276373440995,3.775586163764363,133678466.24944456,8472829.286900245,8.602875644870773,122301593.00737736,8.558110318847893
2005,1668.001,569.4816047647954,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,0.677007421284985,3.824208075441403,135449489.90349618,8522904.573621493,8.631971544277897,122820643.46199404,8.526726588669835
2006,1934.967,633.8570836966682,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,0.6800485116637135,3.940206757926808,137042306.40879896,8592311.690290246,8.653844753053633,123216699.50211878,8.44627595694676
2007,2259.804,731.9059496771939,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,0.6827608047169262,4.044809076179873,138525568.43575794,8640797.710759075,8.676548205973464,123599055.50441344,8.43440740222317
2008,2678.337,874.8669564262615,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,0.6851541966812652,4.100370702748444,139694933.7327967,8691699.110178197,8.687931468328028,123717808.16208585,8.396886002049696
2009,2825.491,1028.8439869357844,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,0.6872385837933715,4.185427182273327,140617622.62286186,8722094.358594969,8.695650737202449,123769771.41639408,8.420659362065976
2010,3349.109,1146.660534922492,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,0.689023862289887,4.338533239563041,143929993.69374347,8745548.148234911,8.730895135423449,124434813.41039948,8.389077391236086
2011,3615.893,1256.5207192694286,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,0.6905199284074529,4.536828683586593,146977108.68634188,8709534.648836933,8.75931257842579,124955303.72896454,8.376519787239642
2012,3744.322,1339.1221477564295,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,0.6915253939393939,4.749957746965624,149836566.46552247,8659813.58364263,8.775083392803147,125464577.1337295,11.321769332519333
2013,3932.905,1340.8941315889654,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,0.6926525101010101,4.974973448439212,152381918.22077274,8603518.303584129,8.785884168445207,125888551.97837624,12.00892052667675
2014,4055.14,1284.6910222498116,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,0.693706885942761,5.164989154462518,154397672.8275414,8508097.6977839,8.799996847811155,126107820.46385272,12.61021681897106
2015,3732.551999999999,1218.7863259831222,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,0.6936824597713244,5.274928896260682,155837365.7879423,8390263.358097244,8.806885485835783,126174272.65888976,13.139355659438117
2016,3424.967999999999,1144.7270174863756,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,0.7018697499776808,5.423252476840693,156553462.1991237,8301516.357913042,8.804783705377156,126056628.42358167,13.263560785850125
