Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
2003,20.503127808097005,1014.501653013951,1452.1546200227779,24.71838957066802,20.133677529064002,77.21083896524665,2.178968415467765,2002.9666688744946
2004,25.775636094732256,1011.9634156951497,1603.593970482396,26.847477859105805,22.54238401446545,78.65171187360173,2.162035601121428,2004.0152563103964
2005,30.86339960811324,1009.4498949682085,1761.9615991843548,29.054922194769834,25.061253418277687,80.26881807461687,2.107792096890799,2005.4862114138707
2006,28.062471593024227,1010.7051433186242,1707.3949813202098,28.3354551522618,24.32058583680825,80.19160600865104,1.992766248708399,2006.6685781049157
2007,16.020296403080387,1016.039386604286,1442.6563611407728,24.229255273308468,19.57484405192699,76.93666400466311,2.0383062567953947,2007.0784742468416
2008,19.28968219973981,1015.322538387038,1322.314138663862,24.067872462105154,19.36999924706409,76.63738391902699,1.9769650457684182,2008.0006759621283
2009,24.521575876813305,1014.9473182810381,1407.3779438375452,24.62988012940309,19.83701621541992,76.33372956507525,1.986895970770675,2009.000005723684
2010,21.80990355732731,1015.4191595920329,1400.8312232174349,24.265716365860644,19.388327600402835,75.99804550872507,1.940433502382584,2010.0000000484597
2011,22.465174427315564,1015.6217512325479,1332.7434463538946,23.664997433680266,19.07597180891469,77.0876382923008,1.8591727179661472,2011.0000000004102
2012,22.651612534602783,1016.2575062987588,1385.3572794309782,24.07036563854555,19.436271551816073,76.99769728827665,1.8424756454199998,2012.0000000000036
2013,21.896600619810513,1016.0719164861766,1359.0731160305556,24.044623583365823,19.606705392264853,77.83552935289468,1.7592504688097739,2013.0
2014,22.47378880260643,1016.6773973942486,1455.1164753210205,24.241808539877088,19.29143552018981,75.91672420596413,1.799764956522754,2014.0
2015,18.925559990771294,1016.289950292518,1413.3266782288235,25.045465273758463,19.711904153201168,74.19839663307742,1.8494711488989808,2015.0
2016,20.1054151077131,1016.3888381621326,1395.8564150856346,24.858758858250365,19.687789895766286,74.89073545469066,1.7629909701209827,2016.0
2017,18.224114368776554,1016.9496425269641,1335.8068328570257,24.008845308116946,19.410322034132687,75.36897877150226,1.6862094465496547,2017.0
2018,21.43297214639699,1016.1903084142965,1298.847256771279,24.302170129299856,19.939610008724603,77.56666164515015,1.5615897685434919,2018.0
2019,24.49271216888218,1016.128293865216,1289.9833637908375,24.77560681128017,20.07667338924371,76.93911342453033,1.5620690565012392,2019.0
2020,16.69526749212085,1016.1982080754962,1366.9253291459036,25.04852091910666,19.492121040389154,73.10467600482325,1.6737232998645268,2020.0
2021,22.02857748691335,1015.9815212510085,1235.2704666669806,23.833383956377777,19.16480157014385,76.91799974381357,1.5218352175426924,2021.0
2022,15.57844394441144,1015.9489435299521,1137.4059453064551,23.99236633149158,18.823222076306486,74.84555647158446,1.5219086513073645,2021.9208440184723
